2020-01-13 09:33:56 DEBUG logger:ReadPropertiesFile.java:52| Read Configuration from config.properties successfully
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:63| Today Date (Timestamp): 2020-01-13 09:33:56.827
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:68| Start Date (Timestamp): 2019-02-01 00:00:00.0
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:73| End Date (Timestamp): 2019-12-31 23:59:59.999
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:104| sql statement for SSReport : SELECT FILENAME, SSUSER, DATESTART, DATEEND, SSCATEGORY FROM db2admin.SSREPORT WHERE TIME_STAMP>='2019-02-01 00:00:00.0' AND TIME_STAMP<='2019-12-31 23:59:59.999'
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=mes00009, sssStart=null, sssComplete=null, duration=null, category=category3, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=null, sssStart=null, sssComplete=null, duration=null, category=category3, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=mes00009, sssStart=null, sssComplete=null, duration=null, category=category2, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=null, sssStart=null, sssComplete=null, duration=null, category=category2, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=mes00009, sssStart=null, sssComplete=null, duration=null, category=category1, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=null, sssStart=null, sssComplete=null, duration=null, category=category1, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=null, sssStart=null, sssComplete=null, duration=null, category=category1, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=mes00009, sssStart=null, sssComplete=null, duration=null, category=category3, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=null, sssStart=null, sssComplete=null, duration=null, category=null, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=null, reportDate=null, reportTime=null, sssId=mes00009, sssStart=2019-12-20 11:44:53.972, sssComplete=null, duration=null, category=category3, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20190202_153819.pdf, reportDate=null, reportTime=null, sssId=mes00009, sssStart=2019-12-20 11:59:56.96, sssComplete=2019-12-20 12:01:20.118, duration=null, category=category2, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20190202_153819.pdf, reportDate=null, reportTime=null, sssId=mes00008, sssStart=2019-12-23 15:26:22.092, sssComplete=2019-12-23 15:35:22.603, duration=null, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20201415_123020.pdf, reportDate=null, reportTime=null, sssId=mes00008, sssStart=2019-12-23 15:30:17.097, sssComplete=2019-12-23 15:36:32.996, duration=null, category=New CCF With Quotation, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20201415_123020.pdf, reportDate=null, reportTime=null, sssId=mes00003, sssStart=2019-12-23 15:37:54.622, sssComplete=2019-12-24 09:49:48.13, duration=null, category=New CCF With Quotation, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20191212_073345.pdf, reportDate=null, reportTime=null, sssId=mes00003, sssStart=2019-12-23 15:41:06.095, sssComplete=2019-12-24 09:49:54.567, duration=null, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=null, reportTime=null, sssId=mes00004, sssStart=2019-12-23 15:47:48.604, sssComplete=2019-12-24 09:50:25.615, duration=null, category=New CCF Without Quotation, remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=null, reportTime=null, sssId=mes00004, sssStart=2019-12-23 15:56:13.02, sssComplete=2019-12-24 09:50:32.834, duration=null, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20191212_073345.pdf, reportDate=null, reportTime=null, sssId=mes00005, sssStart=2019-12-23 15:41:19.252, sssComplete=2019-12-24 09:51:04.975, duration=null, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
2020-01-13 09:33:56 DEBUG logger:SSReportDaoImpl.java:116| Each SSReportSSReport [reportName=SIL006L_JINSSS_1503_20190715_134150.pdf, reportDate=null, reportTime=null, sssId=mes00003, sssStart=2019-12-24 09:52:05.632, sssComplete=2019-12-31 10:24:18.224, duration=null, category=Other error (Diff SP/MPN), remarks=null, nonWorkingDays=0]
